134	ACM 3309
134	ATCC 35066
134	IMET 10483
134	Methylocystis parvus
134	NCIMB 11129
134	UNIQEM 38
134	VKM B-2129
134	strain OBBP
136	Spirochaetales Buchanan 1917
136	spirochetes
137	Spirochaetaceae Schwellengrebel 1907
137	Spirochaetaceae Swellengrebel 1907
137	Treponemataceae Robinson 1948
138	Borrelia Swellengrebel 1907
138	Relapsing Fever Borrelia
139	ATCC 35210
139	ATCC:35210D-5
139	Borrelia burdorferi
139	Borrelia burgdorferi sensu stricto
139	Borrelia burgdorffragment
139	Borreliella burgdorferi
139	CIP 102532
139	DSM 4680
139	Lyme disease spirochete
139	strain B31
140	Spirochaeta hermsi
140	Borrelia hermsii
140	Spirochaeta hermsi
140	strain DAH
141	Spirochaeta parkeri Davis 1942
141	Borrelia parkeri
141	Spirochaeta parkeri
142	Spirochaeta turicatae Brumpt 1933
142	Borrelia turicatae
142	Spirochaeta turicatae
143	Spirochaeta anserina Sakharoff 1891
143	Spirochaete gallinarum
143	Spiroschaudinnia anserina
143	Borrelia anserina
143	Spirochaeta anserina
143	Spirochaete gallinarum
143	Spiroschaudinnia anserina
144	ATCC 43381
144	Borrelia coriaceae
144	CIP 104208
144	strain Co53
145	Borrelia sp
146	Ehrenbergia Gieszczykiewiez 1939
146	Spirochaete Cohn 1872
146	Spirochoeta Dujardin 1841
146	Ehrenbergia
146	Spirochaeta Ehrenberg 1835
146	Spirochaete
146	Spirochoeta
147	Spirochaeta aurantia Vinzent 1926
147	ATCC 25082
147	DSM 1902
147	Spirochaeta aurantia
148	ATCC 35968
148	DSM 16054
148	Sediminispirochaeta bajacaliforniensis
148	Spirochaeta bajacaliforniensis Fracek
148	strain BA-2
149	ATCC 29478
149	DSM 10522
149	Spirochaeta halophila Greenberg
149	strain RS1
150	ATCC 33939
150	DSM 2461
150	Spirochaeta isovalerica Harwood
150	strain MA-2
151	Spirochaeta litoralis Hespell
151	ATCC 27000
151	DSM 2029
151	Oceanispirochaeta litoralis
151	Spirochaeta litoralis
151	strain R1
152	Treponema stenostrepta
152	ATCC 25083
152	DSM 2028
152	JCM 16534
152	Spirochaeta stenostrepta Zuelzer 1912
152	Treponema stenostrepta
152	Treponema stenostreptum corrig
154	ATCC 700085
154	DSM 6578
154	Spirochaeta thermophila
154	strain Z-1203
156	Spirochaeta zuelzerae
156	Treponema zuelzerae Veldkamp 1960
156	ATCC 19044
156	DSM 1903
156	Spirochaeta zuelzerae
156	Treponema zuelzerae
157	Microspironema Stiles
157	Spironema Vuillemin 1905
157	Microspironema
157	Treponema Schaudinn 1905 emend
